userId,gender,churn,daysRegistered,weeksRegistered,latestLevel,totalSession,totalInteraction,totalLength,avgIntPerSession,avgSessionLength,avgSessionsPerWeek,totalSong,avgSongPerSession,avgSongPerWeek,totalHome,avgHomePerSession,avgHomePerWeek,totalAddFriend,avgAddFriendPerSession,avgAddFriendPerWeek,totalAddToPlaylist,avgAddToPlaylistPerSession,avgAddToPlaylistPerWeek,totalNextSong,avgNextSongPerSession,avgNextSongPerWeek,totalThumbsUp,avgThumbsUpPerSession,avgThumbsUpPerWeek,totalLogout,avgLogoutPerSession,avgLogoutPerWeek,totalDaysActive,totalWeeksActive,totalFortnightsActive,ActiveDaysRatio,ActiveWeeksRatio,totalSessionWk0,totalInteractionWk0,totalLengthWk0,avgIntPerSessionWk0,avgSessionLengthWk0,totalSessionWk1,totalInteractionWk1,totalLengthWk1,avgIntPerSessionWk1,avgSessionLengthWk1,totalSessionWk2,totalInteractionWk2,totalLengthWk2,avgIntPerSessionWk2,avgSessionLengthWk2,totalSessionWk3,totalInteractionWk3,totalLengthWk3,avgIntPerSessionWk3,avgSessionLengthWk3,totalDaysActiveFN0,totalWeeksActiveFN0,totalFortnightsActiveFN0,ActiveDaysRatioFN0,ActiveWeeksRatioFN0,totalDaysActiveFN1,totalWeeksActiveFN1,totalFortnightsActiveFN1,ActiveDaysRatioFN1,ActiveWeeksRatioFN1
100010,1,0,55.64365740740741,7.949093915343916,0,7,381,66940.89735,54.42857142857143,9562.985335714286,10597.231694877368,275,39.285714285714285,43.53450329257165,11,1.5714285714285714,1.741380131702866,4,0.5714285714285714,0.6332291388010423,7,1.0,1.1081509929018238,275,39.285714285714285,43.53450329257165,17,2.4285714285714284,2.6912238399044295,5,0.7142857142857143,0.7915364235013028,7,6,4,0.15830728470026054,1.2664582776020845,1,33,5999.270759999999,33.0,5999.270759999999,1,112,19634.6674,112.0,19634.6674,1,72,13040.32954,72.0,13040.32954,0,0,0.0,0.0,0.0,2,2,1,0.14285714285714285,1.0,1,1,1,0.07142857142857142,0.5
200002,0,0,70.07462962962963,10.010661375661376,1,6,474,94008.87593999995,79.0,15668.145989999992,14463.919467410708,387,64.5,59.54264188267186,20,3.3333333333333335,3.0771391153835586,4,0.6666666666666666,0.6154278230767117,8,1.3333333333333333,1.2308556461534235,387,64.5,59.54264188267186,21,3.5,3.2309960711527363,5,0.8333333333333334,0.7692847788458896,7,4,4,0.15385695576917793,1.2308556461534235,1,140,29345.904749999983,140.0,29345.904749999983,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,103,22190.69133999999,103.0,22190.69133999999,1,1,1,0.07142857142857142,0.5,2,1,1,0.14285714285714285,0.5
125,0,1,71.31688657407408,10.188126653439154,0,1,11,2089.1131000000005,11.0,2089.1131000000005,712229.7648703497,8,8.0,2727.39571589628,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,8,8.0,2727.39571589628,0,0.0,0.0,0,0.0,0.0,1,1,1,48.70349492671927,681.84892897407,1,11,2089.1131000000005,11.0,2089.1131000000005,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,1,1,0.07142857142857142,0.5,0,0,0,0.0,0.0
124,1,0,131.55591435185184,18.79370205026455,1,29,4825,1012312.0927899998,166.3793103448276,34907.31354448275,118109.09230705265,4079,140.6551724137931,475.9075693669585,176,6.068965517241379,20.534379065600564,74,2.5517241379310347,8.633773016218418,118,4.068965517241379,13.767367782618559,4079,140.6551724137931,475.9075693669585,171,5.896551724137931,19.951016023964183,59,2.0344827586206895,6.883683891309279,36,9,5,0.6000305571117047,1.1667260832727593,4,270,57730.14359999998,67.5,14432.535899999995,2,239,53272.58906000001,119.5,26636.294530000006,6,990,210191.6309,165.0,35031.93848333333,5,686,138526.61789,137.2,27705.323578,7,2,1,0.5,1.0,11,2,1,0.7857142857142857,1.0
51,0,1,19.455844907407407,2.7794064153439155,1,10,2464,523275.84279999987,246.4,52327.58427999999,232133.7522008009,2111,211.1,936.4742470696964,75,7.5,33.27123094752593,28,2.8,12.421259553743013,52,5.2,23.068053456951308,2111,211.1,936.4742470696964,100,10.0,44.3616412633679,24,2.4,10.646793903208296,12,3,2,0.7604852788005927,1.774465650534716,6,1099,239774.23279999997,183.16666666666666,39962.37213333333,3,766,160005.5283800001,255.33333333333334,53335.176126666694,1,599,123496.08161999991,599.0,123496.08161999991,0,0,0.0,0.0,0.0,10,2,1,0.7142857142857143,1.0,2,1,1,0.14285714285714285,0.5
7,0,0,72.77818287037037,10.396883267195767,0,7,201,38034.0871,28.714285714285715,5433.441014285714,5242.56345931005,150,21.428571428571427,20.675782669081272,10,1.4285714285714286,1.3783855112720849,1,0.14285714285714285,0.1378385511272085,5,0.7142857142857143,0.6891927556360424,150,21.428571428571427,20.675782669081272,7,1.0,0.9648698578904594,3,0.42857142857142855,0.41351565338162544,7,6,3,0.1378385511272085,0.8270313067632509,2,28,4478.503309999999,14.0,2239.2516549999996,1,29,5727.518910000001,29.0,5727.518910000001,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3,2,1,0.21428571428571427,1.0,0,0,0,0.0,0.0
15,0,0,56.513576388888886,8.073368055555555,1,15,2278,477307.60581,151.86666666666667,31820.507053999998,60999.80073419106,1914,127.6,244.60875373462488,93,6.2,11.885378316259203,31,2.066666666666667,3.961792772086401,59,3.933333333333333,7.540186243648312,1914,127.6,244.60875373462488,81,5.4,10.351781114161241,27,1.8,3.4505937047204136,17,7,4,0.3103708623293494,1.0223981347319744,2,417,87558.39533000003,208.5,43779.197665000014,3,227,48544.85382999999,75.66666666666667,16181.617943333331,0,0,0.0,0.0,0.0,1,301,61623.73645999999,301.0,61623.73645999999,5,2,1,0.35714285714285715,1.0,2,1,1,0.14285714285714285,0.5
54,1,1,110.75168981481481,15.821669973544974,1,37,3437,711344.9195400001,92.89189189189189,19225.53836594595,116349.07294193603,2841,76.78378378378379,464.67994238546464,129,3.4864864864864864,21.099511639466716,33,0.8918918918918919,5.397549489165904,72,1.945945945945946,11.776471612725608,2841,76.78378378378379,464.67994238546464,163,4.405405405405405,26.66062323436492,36,0.972972972972973,5.888235806362804,32,7,4,0.7477124833476577,1.308496845858401,7,677,142467.69205,96.71428571428571,20352.527435714288,6,497,102552.47518000001,82.83333333333333,17092.07919666667,6,277,54132.541079999995,46.166666666666664,9022.09018,6,298,57075.280880000006,49.666666666666664,9512.546813333334,11,2,1,0.7857142857142857,1.0,10,2,1,0.7142857142857143,1.0
155,1,0,23.556018518518517,3.3651455026455026,1,6,1002,198779.2919,167.0,33129.88198333333,53874.24104194217,820,136.66666666666666,222.24084426569274,30,5.0,8.13076259508632,11,1.8333333333333333,2.981279618198317,24,4.0,6.5046100760690555,820,136.66666666666666,222.24084426569274,58,9.666666666666666,15.719474350500217,14,2.3333333333333335,3.7943558777069493,7,4,2,0.27102541983621065,1.0841016793448426,1,326,66309.93848000003,326.0,66309.93848000003,2,283,57644.089969999986,141.5,28822.044984999993,2,293,57561.15148,146.5,28780.57574,1,100,17264.11197000001,100.0,17264.11197000001,3,2,1,0.21428571428571427,1.0,4,2,1,0.2857142857142857,1.0
100014,0,1,85.08340277777778,12.154771825396825,1,6,310,67703.47208,51.666666666666664,11283.912013333334,11490.644180050418,257,42.833333333333336,43.61808137082704,7,1.1666666666666667,1.1880411268318651,6,1.0,1.0183209658558843,7,1.1666666666666667,1.1880411268318651,257,42.833333333333336,43.61808137082704,17,2.8333333333333335,2.8852427365916724,3,0.5,0.5091604829279421,7,4,2,0.16972016097598072,0.6788806439039229,1,74,14556.05441,74.0,14556.05441,1,2,420.59664,2.0,420.59664,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,2,1,0.14285714285714285,1.0,0,0,0,0.0,0.0
